UTM.EW	UTM.NS	Precipitation	Elevation	Age	Age.cat	Geology	Faramea.occidentalis
B0	625754	1011569	2530	120	3	c3	Tb	14
B49	626654	1011969	2530	120	3	c3	Tb	7
p1	614856.9	1031786.4	2993.2	20	2	c2	Tc	0
p2	613985.4	1030725.4	3072	100	3	c3	Tc	0
p3	614674.3	1023801.5	3007.4	180	1	c1	Tc	2
p4	615018.6	1023547.9	2999.8	180	1	c1	Tc	1
p5	637157.8	1012427.9	2414.3	40	2	c2	Tgo	0
p6	637983.7	1012395.1	2393.7	30	2	c2	Tgo	0
p7	638144	1012885.6	2438.4	60	1	c1	Tgo	2
p8	637732.3	1013699.4	2455.5	50	3	c3	pT	0
p9	638364.8	1013754.2	2889.3	410	3	c3	pT	0
p10	625401.8	1011039.3	2529.3	90	3	c3	Tcm	9
p11	623291.1	1011064.6	2515.5	60	3	c3	Tcm	7
p12	628587.3	1014891.3	2496.8	10	2	c2	Tbo	1
p13	629528.9	1015836.2	2576.3	55	2	c2	Tcm	2
p14	625124.6	1012544.7	2534.7	60	3	c3	Tcm	5
p15	637861	1012976	2455	70	3	c3	Tgo	0
p16	641463.9	1011328	2501.8	160	3	c3	pT	3
p17	641108.2	1011887.9	2470.6	120	3	c3	pT	0
p18	622784.7	1010902.9	2510.8	58	2	c2	Tcm	3
p19	634683	1017102	2687.7	160	1	c1	pT	0
p20	635754	1016123	2657.5	160	1	c1	pT	0
p21	643560.1	1010755	2411.4	110	1	c1	Tgo	12
p22	643599.3	1011461.2	2513.7	180	1	c1	Tb	42
p23	645805.1	1008575.3	2247.5	30	2	c2	Tc	15
p24	645416	1008797.4	2279.8	50	2	c2	Tc	7
p25	632002.6	1003751.3	2334.3	110	2	c2	pT	0
p26	633322	1003528.6	2251.9	50	2	c2	pT	0
p27	648907	1004027.5	2305.1	180	1	c1	Tl	4
p28	649196.4	1004697.5	2293.7	160	1	c1	Tl	22
p29	649677.7	993572.6	1968.5	100	1	c1	Tb	8
p30	649221	994670	2096.3	180	1	c1	Tb	0
p31	637474.3	1034700.3	3291.7	343	3	c3	pT	0
p32	639831.7	1034474.8	3293.1	363	3	c3	pT	0
p33	647619.7	1038364.1	3615.3	600	3	c3	pT	0
p34	660392.9	1041453.1	3106.8	210	3	c3	pT	0
p35	656576.8	1045986.9	4001.7	830	3	c3	pT	0
p36	661790	1039037	3029.4	200	3	c3	pT	0
p37	688165	1030608.7	3133.9	600	3	c3	pT	0
p38	600713.5	962861.5	2517.4	810	1	c1	pT	0
p39	601167.4	966019.1	2400.5	660	1	c1	pT	0
p40	670203.9	1026675.4	NA	NA	NA	NA	NA	0
p41	674031.8	1027110.7	NA	NA	NA	NA	NA	0
C1	651916.5	993635.5	1887.5	50	1	c1	pT	1
S0	612610.2	1026067.2	3026.4	140	2	c2	Tc	0
